,username,novel_id,interest
0,Cli,143441,1
1,Guppy000,143441,1
2,DarcusGrey,143441,1
3,Catboy_Leon,143441,1
4,KrappaJn,143441,1
5,KrisAnime321,143441,1
6,ja_kingy,143441,1
7,Kyoshimm,143441,1
8,BlurzzBee,143441,1
9,Esker13,143441,1
10,Lasicnis,143441,1
11,RealAuraz,143441,1
12,Krikru,143441,1
13,ValerioMaccelli,143441,1
14,galsgv97,143441,1
15,Voide,143441,1
16,Tokyobluesea,143441,1
17,past_feelings,143441,1
18,ConjuringScribeZ,143441,1
19,Endlesspromise,143441,1
20,dekazen,143441,1
21,MaouYuno,143441,1
22,Hardcvstle,143441,1
23,FFFVeryWholesome,143441,1
24,Ilyassha,143441,0
25,cyncitie,143441,0
26,AneName29,143441,1
27,griefseeded,143441,0
28,Donzilla37,143441,1
29,EAU_,143441,1
30,HarishaKai,143441,1
31,tommmmmmmm9,143441,1
32,pakut2,143441,1
33,hayhay123,143441,0
34,txtk,143441,1
35,ugh_ruby,143441,1
36,MainakSikder,143441,1
37,Geraltino,143441,1
38,0ii0i02,143441,1
39,Spider_vm,143441,1
40,GuilhermeVasc,143441,1
41,RegularChezLevi,143441,1
42,bzzbzzMFbzzbzz,143441,1
43,hirundiiniv,143441,1
44,Moonlight_me,143441,1
45,maxami123,143441,1
46,CHBanime,143441,1
47,8129a767ec50e223,143441,1
48,blazing606,143441,1
49,FangAbi,143441,1
50,Yamete007,143441,1
51,NvdBJump,143441,1
52,Thapple,143441,1
53,Patientstudent,143441,1
54,PkKill,143441,1
55,tuesdaythursday,143441,1
56,jotaro69joestar,143441,1
57,Athavan,143441,1
58,zelindar,143441,1
59,OtakuNinga,143441,1
60,helkauron,143441,1
61,phaedraccentor,143441,1
62,Lesanwar,143441,1
63,Mr_Zen4,143441,1
64,Poosmell,143441,1
65,xuruxs,143441,1
66,mateimac123,143441,1
67,Shirsak_Mitra,143441,1
68,froppan11,143441,1
69,Relayn,143441,1
70,VillanOtaku17,143441,1
71,goten265,143441,1
72,KorayKurtoglu,143441,1
73,redstone_man354,143441,1
74,diosApateMinor,143441,1
75,KnockturnalNOR,126479,1
76,DarcusGrey,126479,1
77,Macanik,126479,1
78,notellan,126479,1
79,Tunchyyy,126479,1
80,MidnightClouds,126479,1
81,maryam4897,126479,1
82,LeftwardStatue4,126479,1
83,whalejandro,126479,1
84,Era1923,126479,1
85,Adriaan765,126479,1
86,Arrogance5482,126479,1
87,Seidoulus,126479,1
88,LightningAce,126479,1
89,Itsgipryy,126479,1
90,MISERY12,126479,1
91,Nix3l,126479,1
92,Mikachanxxxxxxxx,126479,1
93,Punpunnigga,126479,1
94,Baklavaman,126479,1
95,Ayaa49,126479,1
96,ahmedramzy03,126479,1
97,chelsanime,126479,1
98,kyons,126479,1
99,rin_nova,126479,1
100,midnightrider21,126479,1
101,Fullyym,126479,1
102,luvmade,126479,1
103,angelarreaza,126479,1
104,ATamblingPoder,126479,1
105,aniupreti,126479,1
106,Thanhlonnnnnn,126479,1
107,rxsky,126479,1
108,xMushie,126479,1
109,JJnoah12,126479,1
110,IKitsuneI,126479,1
111,RudolfTostarrica,126479,1
112,HahaAnimeGoBrrr,126479,1
113,Hsyfan,126479,1
114,Tikounek,126479,1
115,ruikoxtg,126479,1
116,sevntf,126479,1
117,Tyhawk,126479,1
118,andrxzy,126479,1
119,Siki24,126479,0
120,LorMor,126479,1
121,PhoenixSH,126479,1
122,JunSebaSoul,126479,1
123,SOTFS,126479,1
124,Idk5008,126479,1
125,point15,126479,1
126,TheCoppo,126479,1
127,KorayKurtoglu,126479,1
128,Levantgirl,126479,1
129,BDAWG15,126479,1
130,Cemtleman,126479,1
131,Just_Inosukee,126479,1
132,-darling,126479,1
133,mtsignal,126479,1
134,babutin,126479,1
135,Nepeg,126479,1
136,CaptainOverdose,126479,1
137,douseiaisha,126479,1
138,Verathor,126479,1
139,GamerDev,126479,1
140,l0raxx,126479,1
141,DickSuckerNomNom,126479,1
142,Akys00,126479,1
143,greklam,126479,1
144,Fed_142,126479,1
145,Dr-Ghost,126479,1
146,king_batuta,126479,1
147,Jesus25B,126479,1
148,tengentengen,126479,1
149,Dujus,126479,1
150,Egliette,117077,1
151,voedinC,117077,1
152,A7HL,117077,1
153,AnimeNigth,117077,1
154,Lovxinqqii,117077,1
155,Sherry221B,117077,1
156,FwPeppy,117077,1
157,0428ForLife,117077,1
158,Skystriker,117077,1
159,gkisen,117077,1
160,BlissGuy,117077,1
161,Tikounek,117077,1
162,Subaru_N,117077,1
163,K4rl,117077,1
164,NPeach,117077,1
165,Tyhawk,117077,1
166,MFrontier4,117077,1
167,canopu_s,117077,1
168,Acid_Daedra,117077,1
169,IceWizard05,117077,1
170,Poovle,117077,1
171,BrianDTF,117077,1
172,HanzDKidz,117077,1
173,Cosmolax,117077,1
174,Tsuki-Mi,117077,1
175,TheRatDoctor,117077,1
176,Gonpachiro123,117077,1
177,Krowfu,117077,1
178,McSchnitzel,117077,1
179,_Solar_Sky_,117077,1
180,Noah_Shiki,117077,1
181,Aoki-Kyoku,117077,1
182,FuckingPsycho,117077,1
183,Masahiro99,117077,1
184,vectorfish,117077,1
185,blackxglitter,117077,1
186,ankringan,117077,1
187,Enatsusugioka,117077,1
188,dontneedgod,117077,1
189,J3ubbleboy,117077,1
190,harvey131,117077,1
191,smollbaekie,117077,1
192,Enyormia,117077,1
193,Valtiar,117077,1
194,Mags042,117077,1
195,ChillPillVT,117077,1
196,anthor_of_Rhoads,117077,1
197,Juanchoman,117077,1
198,izuniaaa,117077,1
199,RandomizerGamer,117077,1
200,Zinkmilk,117077,1
201,Malacc297,117077,1
202,MarcosFlamingo,117077,1
203,Araxi-shi,117077,1
204,HahaAnimeGoBrrr,117077,1
205,MomoMinor,117077,1
206,Lyuboslav2000,117077,1
207,FooRacc,117077,1
208,Diviners_2000,117077,1
209,cortrell,117077,1
210,Migomi,117077,1
211,Loliconxdddd,117077,1
212,pbence20,117077,1
213,rin_nova,117077,0
214,Chris_Foster,117077,1
215,Mrssaif4rrd,117077,1
216,KuranDomo,117077,1
217,Tmvrle,117077,1
218,tqrx,117077,1
219,dragonhite,117077,1
220,RM_Anime2,117077,1
221,Unheo,117077,1
222,rorokelly1,117077,1
223,kane24,117077,1
224,Bilmiyorum292,117077,1
225,hayhay123,6978,1
226,luigirovatti,6978,1
227,daremohito,6978,1
228,WzrdxBlvckstxr,6978,1
229,qwvt,6978,1
230,YellowMistake,6978,1
231,urmomiscool,6978,1
232,00blinker,6978,1
233,SintgH,6978,1
234,king_batuta,6978,1
235,Ambrosious,6978,1
236,M0mus,6978,1
237,Yamiez,6978,1
238,Hokokuin,6978,1
239,mechaniclassic,6978,1
240,KaiserReinhard76,6978,1
241,BristalChilly,6978,1
242,AdamDosly,6978,1
243,NutInButt,6978,1
244,altgal,6978,1
245,PositiivOG,6978,1
246,LongLostLum,6978,1
247,DugBur,6978,1
248,Malacc297,6978,1
249,nayt-weeb,6978,1
250,3498701fc702f952,6978,1
251,Almeiiida,6978,1
252,TuanHank,6978,1
253,Mrssaif4rrd,6978,1
254,Milomark,6978,1
255,kylepackard,6978,1
256,M4x3dw33b,6978,1
257,Reihare,6978,1
258,Unheo,6978,1
259,Kickyuz,6978,1
260,Seward_desarraga,6978,1
261,Bilmiyorum292,6978,1
262,bzzbzzMFbzzbzz,6978,1
263,Obitoczar,6978,1
264,hirohitox,6978,1
265,guzoulou,6978,1
266,nerozukin,6978,1
267,jlojnr,6978,1
268,Lolibabaa-sama,6978,1
269,LinuxNeet,6978,1
270,shonenshithead76,6978,1
271,justwantohavefun,6978,1
272,RM_Anime2,6978,1
273,UgurC,6978,1
274,_Chet,6978,1
275,Contramundum,6978,1
276,Hawkon,6978,1
277,touc,6978,1
278,GUNNROFASCII,6978,1
279,PapayaPecs,6978,0
280,snerasnera24,6978,1
281,shinzohm,6978,1
282,EngelsGreyrat,6978,1
283,Lightning505,6978,1
284,discrimin8,6978,1
285,qweaenr,6978,1
286,Yami_Tam,6978,1
287,mintcakee,6978,1
288,Mohamed__3838,6978,1
289,StartKnight,6978,1
290,Ihavenoidea9174,6978,1
291,BobsonDugnutt69,6978,1
292,FemboyFeetLover9,6978,1
293,DeltaWDunn,6978,1
294,Shinichi_Tokuchi,6978,1
295,Natsumezaka,6978,1
296,KolaRED,6978,1
297,yasser_musaed,6978,1
298,Maqox_Tulon,6978,1
299,Razor666,6978,1
300,JorG94,119184,1
301,Catboy_Leon,119184,1
302,Akihabarai_Konyv,119184,0
303,gillian1677,119184,1
304,Nintendocri,119184,1
305,Dortrab91,119184,1
306,Nyanquility,119184,1
307,asei,119184,0
308,rodolfomacarini,119184,0
309,sKillua02,119184,1
310,THeGamingzZilla,119184,1
311,Namiko109,119184,1
312,Ramen_Ava,119184,1
313,Saol,119184,1
314,rohithchai,119184,1
315,Gaim245,119184,1
316,Jacwel20,119184,1
317,1vinny,119184,1
318,zuki_xs,119184,1
319,ConTheNor,119184,1
